"ANO";"Regiao";"SIGLA";"UF";"Dependencia_Administrativa";"Localizacao";"Situacao_Funcionamento";"Fundamental_Nº_Matriculas";"Fundamental_Nº_Turmas";"Fundamental_Nº_Docentes";"Fundamental_Nº_Aprovados";"Fundamental_Nº_Reprovados";"Fundamental_Nº_Abandonos";"Medio_Nº_Matriculas";"Medio_Nº_Turmas";"Medio_Nº_Docentes";"Medio_Nº_Aprovados";"Medio_Nº_Reprovados";"Medio_Nº_Abandonos";"Nº_Escolas"
1996;"Centro Oeste";"GO";"Goiás";"Municipal";"Urbana";"Paralisada";0;0;1260;65;5;15;0;0;156;0;0;0;1
1996;"Centro Oeste";"GO";"Goiás";"Privada";"Rural";"Em Atividade";640;31;1260;529;121;67;237;12;156;212;24;11;6
1996;"Centro Oeste";"GO";"Goiás";"Privada";"Urbana";"Em Atividade";100106;4421;1260;89397;5704;1826;23056;615;156;18613;1985;1436;605
1996;"Centro Oeste";"GO";"Goiás";"Privada";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"MA";"Maranhão";"Estadual";"Rural";"Em Atividade";48878;1494;1260;32554;6956;4779;1225;45;156;871;89;278;172
1996;"Nordeste";"MA";"Maranhão";"Estadual";"Rural";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"MA";"Maranhão";"Estadual";"Urbana";"Em Atividade";377730;10308;1260;258093;55429;42595;66977;1559;156;40844;7304;12496;648
1996;"Nordeste";"MA";"Maranhão";"Estadual";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"MA";"Maranhão";"Federal";"Rural";"Em Atividade";1101;16;1260;0;0;0;345;26;156;240;22;23;51
1996;"Nordeste";"MA";"Maranhão";"Federal";"Urbana";"Em Atividade";1264;32;1260;952;202;15;2266;65;156;1640;285;11;2
1996;"Nordeste";"MA";"Maranhão";"Municipal";"Rural";"Em Atividade";517729;12268;1260;249369;90116;65295;3686;93;156;2010;395;587;10420
1996;"Nordeste";"MA";"Maranhão";"Municipal";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"MA";"Maranhão";"Municipal";"Rural";"Paralisada";0;0;1260;7;13;8;0;0;156;0;0;0;5
1996;"Nordeste";"MA";"Maranhão";"Municipal";"Urbana";"Em Atividade";272854;8455;1260;134062;41130;39712;20298;569;156;11631;1714;2727;1015
1996;"Nordeste";"MA";"Maranhão";"Municipal";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"MA";"Maranhão";"Municipal";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Nordeste";"MA";"Maranhão";"Privada";"Rural";"Em Atividade";12680;429;1260;7139;1426;810;153;8;156;34;11;0;111
1996;"Nordeste";"MA";"Maranhão";"Privada";"Urbana";"Em Atividade";129018;4954;1260;96630;12089;7024;32510;1070;156;22486;1860;2764;759
1996;"Nordeste";"MA";"Maranhão";"Privada";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;6
1996;"Centro Oeste";"MT";"Mato Grosso";"Estadual";"Rural";"Em Atividade";9538;416;1260;5574;931;1134;558;24;156;316;6;121;47
1996;"Centro Oeste";"MT";"Mato Grosso";"Estadual";"Urbana";"Em Atividade";291347;8933;1260;184610;33611;48776;57767;1603;156;31896;2865;12978;538
1996;"Centro Oeste";"MT";"Mato Grosso";"Estadual";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;6
1996;"Centro Oeste";"MT";"Mato Grosso";"Estadual";"Urbana";"Paralisada";0;0;1260;102;16;41;0;0;156;0;0;0;3
1996;"Centro Oeste";"MT";"Mato Grosso";"Federal";"Rural";"Em Atividade";0;0;1260;0;0;0;727;28;156;629;87;26;2
1996;"Centro Oeste";"MT";"Mato Grosso";"Federal";"Urbana";"Em Atividade";0;0;1260;0;0;0;1922;80;156;1207;125;123;1
1996;"Centro Oeste";"MT";"Mato Grosso";"Municipal";"Rural";"Em Atividade";67534;1652;1260;42012;11032;8157;404;16;156;177;6;23;2473
1996;"Centro Oeste";"MT";"Mato Grosso";"Municipal";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;32
1996;"Centro Oeste";"MT";"Mato Grosso";"Municipal";"Rural";"Paralisada";0;0;1260;134;38;27;0;0;156;0;0;0;54
1996;"Centro Oeste";"MT";"Mato Grosso";"Municipal";"Urbana";"Em Atividade";89204;3154;1260;56533;12565;9029;85;3;156;0;0;0;348
1996;"Centro Oeste";"MT";"Mato Grosso";"Municipal";"Urbana";"Extinta";0;0;1260;359;68;31;0;0;156;0;0;0;15
1996;"Centro Oeste";"MT";"Mato Grosso";"Municipal";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;5
1996;"Centro Oeste";"MT";"Mato Grosso";"Privada";"Rural";"Em Atividade";1370;62;1260;841;199;197;82;4;156;34;1;15;9
1996;"Centro Oeste";"MT";"Mato Grosso";"Privada";"Rural";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Centro Oeste";"MT";"Mato Grosso";"Privada";"Urbana";"Em Atividade";53089;2359;1260;44636;3472;2119;10097;345;156;7331;859;537;264
1996;"Centro Oeste";"MT";"Mato Grosso";"Privada";"Urbana";"Extinta";0;0;1260;359;68;31;0;0;156;0;0;0;7
1996;"Centro Oeste";"MT";"Mato Grosso";"Privada";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;30
1996;"Centro Oeste";"MS";"Mato Grosso do Sul";"Estadual";"Rural";"Em Atividade";2436;123;1260;1800;368;352;354;16;156;288;23;32;13
1996;"Centro Oeste";"MS";"Mato Grosso do Sul";"Estadual";"Urbana";"Em Atividade";231217;7422;1260;153092;42690;31092;56701;1696;156;34375;5637;11982;344
1996;"Centro Oeste";"MS";"Mato Grosso do Sul";"Federal";"Rural";"Em Atividade";526;15;1260;285;98;114;0;0;156;0;0;0;6
1996;"Centro Oeste";"MS";"Mato Grosso do Sul";"Federal";"Urbana";"Em Atividade";265;8;1260;125;6;0;141;5;156;58;11;0;1
1996;"Centro Oeste";"MS";"Mato Grosso do Sul";"Municipal";"Rural";"Em Atividade";29333;757;1260;16459;5112;3709;88;4;156;50;6;1;295
1996;"Centro Oeste";"MS";"Mato Grosso do Sul";"Municipal";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;1
1996;"Centro Oeste";"MS";"Mato Grosso do Sul";"Municipal";"Urbana";"Em Atividade";123750;4197;1260;77663;24943;11734;3360;96;156;2404;404;552;297
1996;"Centro Oeste";"MS";"Mato Grosso do Sul";"Privada";"Rural";"Em Atividade";1170;42;1260;904;109;47;237;6;156;266;3;9;5
1996;"Centro Oeste";"MS";"Mato Grosso do Sul";"Privada";"Urbana";"Em Atividade";44524;2188;1260;41556;2732;778;14085;464;156;11694;1213;838;248
1996;"Sudeste";"MG";"Minas Gerais";"Estadual";"Rural";"Em Atividade";187974;5687;1260;135537;21027;20739;2605;85;156;1731;83;226;1766
1996;"Sudeste";"MG";"Minas Gerais";"Estadual";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;11
1996;"Sudeste";"MG";"Minas Gerais";"Estadual";"Rural";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;63
1996;"Sudeste";"MG";"Minas Gerais";"Estadual";"Urbana";"Em Atividade";2362295;70524;1260;1724022;303343;256617;391932;10516;156;238599;32285;66272;3900
1996;"Sudeste";"MG";"Minas Gerais";"Estadual";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;4
1996;"Sudeste";"MG";"Minas Gerais";"Estadual";"Urbana";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;21
1996;"Sudeste";"MG";"Minas Gerais";"Federal";"Rural";"Em Atividade";0;0;1260;0;0;0;2814;84;156;1953;180;125;7
1996;"Sudeste";"MG";"Minas Gerais";"Federal";"Urbana";"Em Atividade";2655;92;1260;1705;229;38;8036;265;156;5038;907;496;18
1996;"Sudeste";"MG";"Minas Gerais";"Municipal";"Rural";"Em Atividade";330601;8214;1260;210939;80240;40995;476;24;156;253;15;61;9594
1996;"Sudeste";"MG";"Minas Gerais";"Municipal";"Rural";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;88
1996;"Sudeste";"MG";"Minas Gerais";"Municipal";"Rural";"Paralisada";0;0;1260;631;188;112;0;0;156;0;0;0;832
1996;"Sudeste";"MG";"Minas Gerais";"Municipal";"Urbana";"Em Atividade";514638;17667;1260;362195;79856;34837;60888;1776;156;42200;6777;9599;1158
1996;"Sudeste";"MG";"Minas Gerais";"Municipal";"Urbana";"Extinta";0;0;1260;0;0;0;0;0;156;0;0;0;32
1996;"Sudeste";"MG";"Minas Gerais";"Municipal";"Urbana";"Paralisada";0;0;1260;75;10;3;0;0;156;99;1;8;178
1996;"Sudeste";"MG";"Minas Gerais";"Privada";"Rural";"Em Atividade";644;28;1260;504;89;53;211;7;156;0;0;0;13
1996;"Sudeste";"MG";"Minas Gerais";"Privada";"Rural";"Paralisada";0;0;1260;0;0;0;0;0;156;0;0;0;2
